cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2011,805,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2012,833,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2013,861,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2014,753,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2015,785,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2016,834,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2017,910,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2018,983,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2019,1046,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2020,1099,No especificada
19,Nuevo León,001,Abasolo,6207048973,Vehículos de motor registrados en circulación,2021,1140,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1993,1338,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1994,1368,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1995,1359,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1996,1347,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1997,1346,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1998,1327,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,1999,1316,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2000,1648,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2001,1989,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2002,2040,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2003,2106,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2004,2167,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2005,2253,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2006,2389,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2007,2494,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2008,2604,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2009,2660,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2010,2687,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2011,2725,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2012,2760,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2013,2803,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2014,1587,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2015,1550,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2016,1598,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2017,1647,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2018,1687,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2019,1736,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2020,1763,No especificada
19,Nuevo León,002,Agualeguas,6207048973,Vehículos de motor registrados en circulación,2021,1792,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,1997,679,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,1998,657,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,1999,607,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2000,767,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2001,927,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2002,949,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2003,977,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2004,1008,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2005,1037,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2006,1127,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2007,1161,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2008,1191,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2009,1207,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2010,1213,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2011,1219,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2012,1225,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2013,1235,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2014,405,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2015,374,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2016,389,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2017,400,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2018,414,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2019,424,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2020,440,No especificada
19,Nuevo León,003,Los Aldamas,6207048973,Vehículos de motor registrados en circulación,2021,448,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1980,2598,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1981,2716,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1982,2851,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1983,3171,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1984,4089,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1985,4379,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1986,4575,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1987,6108,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1988,8404,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1989,9113,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1990,10373,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1991,11400,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1992,12116,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1993,6037,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1994,6397,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1995,6292,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1996,6366,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1997,6665,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1998,7097,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,1999,7472,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2000,8666,No especificada
19,Nuevo León,004,Allende,6207048973,Vehículos de motor registrados en circulación,2001,10529,No especificada
